home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,away_team_substitution_why,expected_goals_xg_home,expected_goals_xg_host,Ball_Possession_Home,Ball_Possession_Host,Goal_Attempts_Home,Goal_Attempts_Host,Shots_on_Goal_Home,Shots_on_Goal_Host,Shots_off_Goal_Home,Shots_off_Goal_Host,Free_Kicks_Home,Free_Kicks_Host,Corner_Kicks_Home,Corner_Kicks_Host,Offsides_Home,Offsides_Host,Throw_ins_Home,Throw_ins_Host,Goalkeeper_Saves_Home,Goalkeeper_Saves_Host,Fouls_Home,Fouls_Host,Red_Cards_Home,Red_Cards_Host,Yellow_Cards_Home,Yellow_Cards_Host,Total_Passes_Home,Total_Passes_Host,Completed_Passes_Home,Completed_Passes_Host,Attacks_Home,Attacks_Host,Dangerous_Attacks_Home,Dangerous_Attacks_Host,Distance_Covered_(km)_Home,Distance_Covered_(km)_Host,referee,venue,capacity,attendance
Freiburg,Bayern Munich,2,2,2023/2024,1.03,22:30,"""1 - 1""","""1 - 1""","[""12'"", ""87'""]","['1 - 0', '2 - 2']","['Gunter C.', 'Holer L.']","['(Hofler N.)', '(Gregoritsch M.)']","[""35'"", ""75'""]","['1 - 1', '1 - 2']","['Tel M.', 'Musiala J.']","['-', '(Kim Min-Jae)']","[""90+4'""]",['Holer L.'],['(Tripping)'],"[""73'"", ""79'""]","['Tel M.', 'Pavlovic A.']","['(Unsportsmanlike conduct)', '(Elbowing)']",,,,,,,"[""64'"", ""77'"", ""77'"", ""85'""]","['Rohl M.', 'Weisshaupt N.', 'Gregoritsch M.', 'Philipp M.']","['Grifo V.', 'Doan R.', 'Sallai R.', 'Eggestein M.']","['-', '-', '-', '-']","[""64'"", ""64'"", ""76'"", ""83'""]","['Davies A.', 'Laimer K.', 'Choupo-Moting E. M.', 'Upamecano D.']","['Guerreiro R.', 'Kimmich J.', 'Muller T.', 'Musiala J.']","['-', '-', '-', '-']",1.42,1.93,43%,57%,17,21,6,9,11,12,7,14,3,6,3,0,10,16,7,4,11,7,,,1,2,386,625,313,550,89,126,39,73,122,121,Jablonski S.  (Ger),Europa-Park Stadion  (Freiburg),34 700,34 700
Augsburg,Freiburg,2,1,2023/2024,25.02,21:30,"""0 - 1""","""2 - 0""","[""72'"", ""81'""]","['1 - 1', '2 - 1']","['Uduokhai F.', 'Engels A.']","['-', '(Demirovic E.)']","[""19'""]",['0 - 1'],['Grifo V.'],['(Penalty)'],"[""23'"", ""79'"", ""89'""]","['Vargas R.', 'Bauer M.', 'Iago']","['(Roughing)', '(Holding)', '(Foul)']","[""79'""]",['Hofler N.'],['(Unsportsmanlike conduct)'],,,,,,,"[""56'"", ""56'"", ""79'"", ""84'""]","['Engels A.', 'Maier A.', 'Beljo D.', 'Dorsch N.']","['Jensen F.', 'Rexhbecaj E.', 'Tietz P.', 'Vargas R.']","['-', '-', '-', '-']","[""37'"", ""66'"", ""66'"", ""76'"", ""76'""]","['Ginter M.', 'Makengo J.', 'Sallai R.', 'Weisshaupt N.', 'Sildillia K.']","['Kubler L.', 'Gunter C.', 'Gregoritsch M.', 'Grifo V.', 'Rohl M.']","['(Injury)', '-', '-', '-', '-']",2.1,1.07,62%,38%,21,5,9,1,12,4,14,15,10,2,1,3,21,13,0,7,16,11,,,3,1,486,255,428,181,102,71,51,20,119,117,Dankert B.  (Ger),WWK Arena  (Augsburg),30 660,28 894
Dortmund,Hoffenheim,2,3,2023/2024,25.02,19:30,"""2 - 1""","""0 - 2""","[""21'"", ""25'""]","['1 - 1', '2 - 1']","['Malen D.', 'Schlotterbeck N.']","['(Reus M.)', '(Reus M.)']","[""2'"", ""61'"", ""64'""]","['0 - 1', '2 - 2', '2 - 3']","['Bebou I.', 'Beier M.', 'Beier M.']","['-', '(Grillitsch F.)', '(Stach A.)']","[""45'"", ""90+4'""]","['Sabitzer M.', 'Malen D.']","['(Tripping)', '(Unsportsmanlike conduct, misses next match)']","[""24'"", ""90+3'"", ""90+4'""]","['Tohumcu U.', 'Brooks J. A.', 'Geiger D.']","['(Tripping)', '(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""75'"", ""75'"", ""75'"", ""79'"", ""87'""]","['Moukoko Y.', 'Gittens J.', 'Adeyemi K.', 'Hummels M.', 'Duranville J.']","['Fullkrug N.', 'Sancho J.', 'Maatsen I.', 'Ryerson J.', 'Reus M.']","['-', '-', '-', '-', '-']","[""49'"", ""68'"", ""79'"", ""79'"", ""79'""]","['Jurasek D.', 'Geiger D.', 'Weghorst W.', 'Bulter M.', 'Becker F. O.']","['Skov R.', 'Kramaric A.', 'Beier M.', 'Bebou I.', 'Tohumcu U.']","['(Injury)', '-', '-', '-', '-']",2.73,1.16,65%,35%,19,7,7,5,12,2,10,9,10,3,0,1,25,15,2,5,7,10,,,2,3,696,302,606,230,135,77,75,29,116,119,Fritz M.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
Eintracht Frankfurt,Wolfsburg,2,2,2023/2024,25.02,17:30,"""1 - 2""","""1 - 0""","[""14'"", ""90+2'""]","['1 - 1', '2 - 2']","['Max P.', 'Marmoush O.']","['(Ekitike H.)', '(Chandler T.)']","[""2'"", ""36'""]","['0 - 1', '1 - 2']","['Lacroix M.', 'Behrens K.']","['(Wind J.)', '(Maehle J.)']","[""41'"", ""44'""]","['Ekitike H.', 'Dina Ebimbe J.']","['(Unsportsmanlike conduct)', '(Tripping)']","[""40'""]",['Gerhardt Y.'],['(Roughing)'],,,,,,,"[""67'"", ""67'"", ""77'"", ""90'"", ""90'""]","['Nkounkou N.', 'Chaibi F.', 'Bahoya J.', 'Chandler T.', 'Baum E.']","['Max P.', 'van de Beek D.', 'Ekitike H.', 'Knauff A.', 'Buta']","['-', '-', '(Injury)', '-', '-']","[""73'"", ""73'"", ""89'""]","['Wimmer P.', 'Nmecha L.', 'Vranckx A.']","['Majer L.', 'Behrens K.', 'Wind J.']","['-', '-', '-']",1.44,1.33,56%,44%,12,14,5,8,7,6,9,14,5,3,5,2,24,19,6,3,9,7,,,2,1,512,380,410,281,139,111,51,42,119,124,Schlager D.  (Ger),Deutsche Bank Park  (Frankfurt),58 000,56 500
Bayern Munich,RB Leipzig,2,1,2023/2024,24.02,20:30,"""0 - 0""","""2 - 1""","[""56'"", ""90+1'""]","['1 - 0', '2 - 1']","['Kane H.', 'Kane H.']","['(Musiala J.)', '(Choupo-Moting E. M.)']","[""70'""]",['1 - 1'],['Sesko B.'],['(Olmo D.)'],"[""38'"", ""59'"", ""66'""]","['Pavlovic A.', 'de Ligt M.', 'Musiala J.']","['(Holding)', '(Roughing)', '(Holding)']","[""41'"", ""67'"", ""78'""]","['Orban W.', 'Schlager X.', 'Simakan M.']","['(Tripping)', '(Roughing)', '(Roughing)']",,,,,,,"[""65'"", ""65'"", ""81'"", ""84'""]","['Laimer K.', 'Tel M.', 'Kim Min-Jae', 'Choupo-Moting E. M.']","['Muller T.', 'Sane L.', 'Pavlovic A.', 'Musiala J.']","['-', '-', '-', '-']","[""73'"", ""74'"", ""87'"", ""90+2'"", ""90+2'""]","['Poulsen Y.', 'Kampl K.', 'Elmas E.', 'Baumgartner C.', 'Lukeba C.']","['Openda L.', 'Haidara A.', 'Simons X.', 'Sesko B.', 'Raum D.']","['-', '-', '-', '-', '-']",1.65,1.09,56%,44%,15,11,4,5,11,6,10,14,6,4,3,0,15,13,4,2,11,10,,,3,3,599,483,545,411,120,89,59,42,120,118,Stegemann S.  (Ger),Allianz Arena  (Munich),75 024,75 000
B. Monchengladbach,Bochum,5,2,2023/2024,24.02,17:30,"""2 - 0""","""3 - 2""","[""28'"", ""35'"", ""72'"", ""78'"", ""90+6'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 1', '5 - 2']","['Ngoumou N.', 'Weigl J.', 'Reitz R.', 'Siebatcheu J.', 'Honorat F.']","['(Wober M.)', '(Penalty)', '(Ngoumou N.)', '(Honorat F.)', '-']","[""75'"", ""88'""]","['3 - 1', '4 - 2']","['Hofmann P.', 'Schlotterbeck K.']","['(Paciencia G.)', '(Bero M.)']","[""45+1'"", ""45+4'""]","['Lainer S.', 'Neuhaus F.']","['(Foul)', '(Roughing)']","[""30'"", ""45+4'"", ""45+4'"", ""64'""]","['Masovic E.', 'Riemann M.', 'Stoger K.', 'Schlotterbeck K.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Tripping)']",,,,,,,"[""67'"", ""67'"", ""82'"", ""88'"", ""89'""]","['Honorat F.', 'Reitz R.', 'Kramer Ch.', 'Jantschke T.', 'Herrmann P.']","['Hack R.', 'Neuhaus F.', 'Ngoumou N.', 'Siebatcheu J.', 'Lainer S.']","['-', '-', '-', '-', '-']","[""58'"", ""58'"", ""69'"", ""69'""]","['Daschner L.', 'Forster P.', 'Paciencia G.', 'Hofmann P.']","['Kwarteng M.', 'Gamboa C.', 'Masovic E.', 'Broschinski M.']","['-', '-', '-', '-']",3.27,1.51,50%,50%,22,15,6,5,16,10,11,15,5,6,3,1,14,29,3,1,13,13,,,2,4,385,395,300,304,64,127,37,57,119,120,Jablonski S.  (Ger),Borussia-Park  (Mönchengladbach),54 042,53 196
Stuttgart,FC Koln,1,1,2023/2024,24.02,17:30,"""0 - 0""","""1 - 1""","[""53'""]",['1 - 0'],['Millot E.'],['(Fuhrich C.)'],"[""62'""]",['1 - 1'],['Martel E.'],['(Maina L.)'],"[""42'""]",['Rouault A.'],['(Roughing)'],,,,,,,,,,"[""65'"", ""65'"", ""67'"", ""86'""]","['Silas', 'Mittelstadt M.', 'Dahoud M.', 'Leweling J.']","['Jeong Woo-Yeong', 'Rouault A.', 'Karazor A.', 'Millot E.']","['-', '-', '-', '-']","[""60'"", ""60'"", ""72'"", ""90+3'""]","['Alidou F.', 'Maina L.', 'Adamyan S.', 'Tigges S.']","['Huseinbasic D.', 'Diehl J.', 'Kainz F.', 'Thielmann J.']","['-', '-', '-', '-']",1.68,1.27,67%,33%,13,12,5,6,8,6,14,11,9,4,0,1,20,22,5,4,11,13,,,1,0,854,280,769,210,168,77,67,31,118,122,Ittrich P.  (Ger),MHPArena  (Stuttgart),60 449,54 500
Union Berlin,Heidenheim,2,2,2023/2024,24.02,17:30,"""2 - 1""","""0 - 1""","[""44'"", ""45+2'""]","['1 - 1', '2 - 1']","['Gosens R.', 'Schafer A.']","['-', '(Gosens R.)']","[""3'"", ""71'""]","['0 - 1', '2 - 2']","['Dovedan N.', 'Beste J.']","['-', '(Dinkci E.)']","[""45'"", ""53'""]","['Gosens R.', 'Juranovic J.']","['(Tripping)', '(Unsportsmanlike conduct)']","[""87'""]",['Traore O. H.'],['(Roughing)'],,,,,,,"[""72'"", ""72'"", ""81'"", ""81'"", ""90'""]","['Trimmel C.', 'Kaufmann M.', 'Roussillon J.', 'Vertessen Y.', 'Kral A.']","['Juranovic J.', 'Hollerbach B.', 'Gosens R.', 'Aaronson B.', 'Tousart L.']","['-', '-', '-', '-', '-']","[""64'"", ""64'"", ""72'"", ""73'"", ""83'""]","['Beck A.', 'Pieringer M.', 'Sessa K.', 'Theuerkauf N.', 'Siersleben T.']","['Schoppner J.', 'Dovedan N.', 'Beste J.', 'Fohrenbach J.', 'Maloney L.']","['-', '-', '-', '-', '-']",0.99,1.28,57%,43%,12,9,3,4,9,5,12,11,4,2,4,0,30,26,2,1,9,12,,,2,1,522,346,407,249,136,117,56,34,124,122,Aytekin D.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,21 341
Werder Bremen,Darmstadt,1,1,2023/2024,24.02,17:30,"""1 - 1""","""0 - 0""","[""8'""]",['1 - 0'],['Zimmermann C.'],['(Own goal)'],"[""33'""]",['1 - 1'],['Justvan J.'],['(Bader M.)'],"[""20'"", ""35'"", ""38'""]","['Ducksch M.', 'Lynen S.', 'Jung A.']","['(Diving)', '(Tripping)', '(Tripping)']","[""52'"", ""56'"", ""67'"", ""89'""]","['Holland F.', 'Gjasula K.', 'Maglica M.', 'Karic E.']","['(Tripping)', '(Tripping)', '(Tripping)', '(Tripping)']",,,,,,,"[""63'"", ""63'"", ""76'"", ""77'""]","['Woltemade N.', 'Deman O.', 'Kownacki D.', 'Bittencourt L.']","['Njinmah J.', 'Agu F.', 'Schmid R.', 'Lynen S.']","['-', '-', '-', '-']","[""70'"", ""70'"", ""70'"", ""77'"", ""90'""]","['Kempe T.', 'Franjic B.', 'Nurnberger F.', 'Muller J.', 'Seydel A.']","['Gjasula K.', 'Holland F.', 'Justvan J.', 'Maglica M.', 'Polter S.']","['-', '-', '-', '-', '-']",1.92,1.03,54%,46%,13,11,4,3,9,8,15,15,4,6,5,2,16,27,2,4,10,13,,,3,4,523,415,455,332,101,89,57,39,122,124,Badstubner F.  (Ger),Weserstadion  (Bremen),42 100,42 358
Bayer Leverkusen,Mainz,2,1,2023/2024,23.02,22:30,"""1 - 1""","""1 - 0""","[""3'"", ""68'""]","['1 - 0', '2 - 1']","['Xhaka G.', 'Andrich R.']","['-', '(Wirtz F.)']","[""7'""]",['1 - 1'],['Kohr D.'],['(Widmer S.)'],"[""45+1'"", ""45+1'"", ""49'"", ""74'""]","['Frimpong J.', 'Alonso X.', 'Tah J.', 'Wirtz F.']","['(Unsportsmanlike conduct)', '(Not on pitch)', '(Tripping)', '(Unsportsmanlike conduct)']","[""42'"", ""52'"", ""54'"", ""66'"", ""85'""]","['Onisiwo K.', 'Kohr D.', 'Zentner R.', 'Caci A.', 'Mwene P.']","['(Tripping)', '(Roughing)', '(Delay of game)', '(Tripping)', '(Tripping)']",,,,"[""80'""]",['Ngankam J.'],['(Serious foul)'],"[""56'"", ""83'"", ""83'"", ""90'""]","['Schick P.', 'Hincapie P.', 'Tella N.', 'Hlozek A.']","['Hofmann J.', 'Adli A.', 'Frimpong J.', 'Wirtz F.']","['-', '-', '-', '-']","[""60'"", ""65'"", ""83'""]","['Guilavogui J.', 'Ngankam J.', 'Krauss T.']","['Widmer S.', 'Gruda B.', 'Onisiwo K.']","['-', '-', '-']",1.21,1.36,60%,40%,18,13,7,4,11,9,18,16,11,2,2,2,21,12,3,5,14,16,0,1,3,5,664,336,578,269,129,78,73,26,118,116,Gerach T.  (Ger),BayArena  (Leverkusen),30 210,30 210
Bochum,Bayern Munich,3,2,2023/2024,18.02,19:30,"""2 - 1""","""1 - 1""","[""38'"", ""44'"", ""78'""]","['1 - 1', '2 - 1', '3 - 1']","['Asano T.', 'Schlotterbeck K.', 'Stoger K.']","['(Losilla A.)', '(Stoger K.)', '(Penalty)']","[""14'"", ""87'""]","['0 - 1', '3 - 2']","['Musiala J.', 'Kane H.']","['(Goretzka L.)', '(Tel M.)']","[""45'"", ""45+6'""]","['Bernardo', 'Losilla A.']","['(Tripping)', '(Tripping, misses next match)']","[""39'"", ""50'"", ""59'""]","['Upamecano D.', 'Goretzka L.', 'Kim Min-Jae']","['(Tripping)', '(Unsportsmanlike conduct)', '(Foul)']",,,,"[""77'""]",['Upamecano D.'],['(Elbowing)'],"[""46'"", ""79'"", ""89'"", ""90+5'""]","['Gamboa C.', 'Kwarteng M.', 'Forster P.', 'Loosli N.']","['Oermann T.', 'Antwi-Adjei C.', 'Asano T.', 'Losilla A.']","['-', '-', '-', '-']","[""33'"", ""63'"", ""63'"", ""79'"", ""79'""]","['Upamecano D.', 'Sane L.', 'Zaragoza B.', 'Tel M.', 'Dier E.']","['Mazraoui N.', 'Choupo-Moting E. M.', 'Kimmich J.', 'Muller T.', 'Guerreiro R.']","['(Injury)', '-', '-', '-', '-']",1.52,3.67,36%,64%,14,26,5,10,9,16,9,17,4,9,5,0,19,24,8,2,12,10,0,1,2,4,262,605,176,508,92,126,45,70,125,118,Schlager D.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,26 000
Freiburg,Eintracht Frankfurt,3,3,2023/2024,18.02,17:30,"""2 - 2""","""1 - 1""","[""30'"", ""45+5'"", ""90'""]","['1 - 1', '2 - 2', '3 - 3']","['Doan R.', 'Grifo V.', 'Gregoritsch M.']","['-', '(Penalty)', '(Weisshaupt N.)']","[""27'"", ""35'"", ""72'""]","['0 - 1', '1 - 2', '2 - 3']","['Marmoush O.', 'Knauff A.', 'Knauff A.']","['(Max P.)', '(Marmoush O.)', '(Marmoush O.)']",,,,,,,,,,,,,"[""77'"", ""77'"", ""77'"", ""83'"", ""88'""]","['Gregoritsch M.', 'Sildillia K.', 'Weisshaupt N.', 'Muslija F.', 'Philipp M.']","['Holer L.', 'Keitel Y.', 'Makengo J.', 'Grifo V.', 'Sallai R.']","['-', '-', '-', '-', '-']","[""11'"", ""87'"", ""87'"", ""90+4'"", ""90+4'""]","['Knauff A.', 'Dina Ebimbe J.', 'Rode S.', 'Nkounkou N.', 'Ekitike H.']","['Kalajdzic S.', 'Marmoush O.', 'Gotze M.', 'Max P.', 'Chaibi F.']","['(Injury)', '-', '-', '-', '-']",2.57,1.13,51%,49%,13,10,8,6,5,4,11,7,6,1,0,1,22,11,3,5,8,10,,,,,552,484,447,397,125,93,48,29,127,127,Stieler T.  (Ger),Europa-Park Stadion  (Freiburg),34 700,34 700
RB Leipzig,B. Monchengladbach,2,0,2023/2024,17.02,20:30,"""1 - 0""","""1 - 0""","[""14'"", ""57'""]","['1 - 0', '2 - 0']","['Simons X.', 'Openda L.']","['(Poulsen Y.)', '(Schlager X.)']",,,,,"[""27'""]",['Schlager X.'],['(Roughing)'],"[""8'"", ""33'"", ""44'"", ""46'"", ""83'""]","['Elvedi N.', 'Itakura K.', 'Kone M.', 'Weigl J.', 'Siebatcheu J.']","['(Tripping)', '(Roughing)', '(Holding)', '(Roughing)', '(Roughing)']",,,,,,,"[""23'"", ""67'"", ""67'"", ""78'"", ""78'""]","['Simakan M.', 'Sesko B.', 'Seiwald N.', 'Baumgartner C.', 'Lukeba C.']","['Klostermann L.', 'Poulsen Y.', 'Haidara A.', 'Olmo D.', 'Raum D.']","['(Injury)', '-', '-', '-', '-']","[""59'"", ""59'"", ""69'"", ""69'"", ""85'""]","['Ngoumou N.', 'Lainer S.', 'Friedrich M.', 'Honorat F.', 'Fukuda S.']","['Wober M.', 'Scally J.', 'Itakura K.', 'Hack R.', 'Reitz R.']","['-', '-', '-', '-', '-']",1.62,0.59,48%,52%,16,13,9,0,7,13,14,13,8,4,1,1,20,19,0,7,12,13,,,1,5,439,461,378,396,109,100,48,52,117,117,Storks S.  (Ger),Red Bull Arena  (Leipzig),47 069,44 822
Darmstadt,Stuttgart,1,2,2023/2024,17.02,17:30,"""0 - 1""","""1 - 1""","[""90+5'""]",['1 - 2'],['Seydel A.'],['(Vilhelmsson O.)'],"[""14'"", ""90+2'""]","['0 - 1', '0 - 2']","['Guirassy S.', 'Dahoud M.']","['(Anton W.)', '-']","[""45+14'"", ""67'"", ""69'"", ""90'"", ""90+7'""]","['Klarer C.', 'Zimmermann C.', 'Brunst A.', 'Justvan J.', 'Lieberknecht T.']","['(Foul)', '(Unsportsmanlike conduct)', '(Not on pitch)', '(Holding)', '(Not on pitch)']","[""45+13'"", ""45+24'"", ""67'"", ""71'""]","['Stenzel P.', 'Leweling J.', 'Fuhrich C.', 'Karazor A.']","['(Foul)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Holding)']",,,,"[""45+22'""]",['Stenzel P.'],['(Roughing)'],"[""46'"", ""74'"", ""74'"", ""86'"", ""86'""]","['Nurnberger F.', 'Seydel A.', 'Torsiello F.', 'Vilhelmsson O.', 'Schnellhardt F.']","['Klarer C.', 'Pfeiffer L.', 'Karic E.', 'Gjasula K.', 'Mehlem M.']","['-', '-', '-', '-', '-']","[""46'"", ""63'"", ""71'"", ""81'"", ""81'""]","['Vagnoman J.', 'Millot E.', 'Jeong Woo-Yeong', 'Stergiou L.', 'Dahoud M.']","['Leweling J.', 'Guirassy S.', 'Fuhrich C.', 'Mittelstadt M.', 'Undav D.']","['-', '-', '-', '-', '(Injury)']",3.11,2.27,54%,46%,21,13,9,4,12,9,16,18,5,3,6,2,23,10,2,8,15,14,0,1,4,5,485,359,403,287,114,82,60,28,128,120,Welz T.  (Ger),Merck-Stadion am Bollenfalltor  (Darmstadt),17 810,17 810
Heidenheim,Bayer Leverkusen,1,2,2023/2024,17.02,17:30,"""0 - 1""","""1 - 1""","[""86'""]",['1 - 2'],['Kleindienst T.'],['(Dovedan N.)'],"[""45+2'"", ""81'""]","['0 - 1', '0 - 2']","['Frimpong J.', 'Adli A.']","['-', '(Wirtz F.)']","[""26'"", ""32'""]","['Fohrenbach J.', 'Gimber B.']","['(Roughing)', '(Roughing)']","[""90+2'""]",['Andrich R.'],['(Unsportsmanlike conduct)'],,,,,,,"[""46'"", ""63'"", ""76'"", ""76'"", ""82'""]","['Dovedan N.', 'Sessa K.', 'Busch M.', 'Pick F.', 'Pieringer M.']","['Beck A.', 'Schoppner J.', 'Dinkci E.', 'Beste J.', 'Gimber B.']","['-', '-', '-', '-', '-']","[""74'"", ""88'"", ""88'"", ""88'""]","['Iglesias B.', 'Hofmann J.', 'Tella N.', 'Tapsoba E.']","['Schick P.', 'Wirtz F.', 'Frimpong J.', 'Adli A.']","['-', '-', '-', '-']",0.83,2.18,44%,56%,6,17,3,4,3,13,6,15,4,5,0,1,35,17,2,2,15,5,,,2,1,324,567,250,476,94,122,58,53,123,123,Osmers H.  (Ger),Voith-Arena  (Heidenheim),15 000,15 000
Hoffenheim,Union Berlin,0,1,2023/2024,17.02,17:30,"""0 - 0""","""0 - 1""",,,,,"[""84'""]",['0 - 1'],['Aaronson B.'],['(Vertessen Y.)'],"[""44'"", ""86'""]","['Nsoki S.', 'Kaderabek P.']","['(Roughing)', '(Holding)']","[""44'"", ""45+9'"", ""89'""]","['Volland K.', 'Doekhi D.', 'Leite D.']","['(Unsportsmanlike conduct)', '(Tripping)', '(Handling, misses next match)']","[""45+3'""]",['Nsoki S.'],['(Roughing)'],"[""45+5'""]",['Volland K.'],['(Roughing)'],"[""29'"", ""46'"", ""81'"", ""90+1'""]","['Weghorst W.', 'Skov R.', 'Conte B.', 'Jurasek D.']","['Promel G.', 'Tohumcu U.', 'Bebou I.', 'Kaderabek P.']","['(Injury)', '-', '-', '-']","[""6'"", ""66'"", ""66'"", ""81'"", ""81'""]","['Kral A.', 'Vertessen Y.', 'Aaronson B.', 'Juranovic J.', 'Roussillon J.']","['Khedira R.', 'Hollerbach B.', 'Laidouni A.', 'Trimmel C.', 'Gosens R.']","['(Injury)', '-', '-', '-', '-']",1.08,1.42,62%,38%,16,10,4,3,12,7,10,15,6,2,2,3,18,23,2,4,10,7,1,1,3,4,627,298,571,229,139,69,65,25,116,120,Hartmann R.  (Ger),PreZero Arena  (Sinsheim),30 150,18 000
Mainz,Augsburg,1,0,2023/2024,17.02,17:30,"""1 - 0""","""0 - 0""","[""43'""]",['1 - 0'],['van den Berg S.'],['(Amiri N.)'],,,,,"[""35'"", ""90+7'"", ""90+14'""]","['Lee Jae-Sung', 'Kohr D.', 'van den Berg S.']","['(Foul)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']","[""45+5'"", ""90+7'""]","['Dahmen F.', 'Gouweleeuw J.']","['(Tripping)', '(Unsportsmanlike conduct)']",,,,"[""90+12'""]",['Pedersen M.'],['(Tripping)'],"[""77'"", ""83'"", ""83'"", ""90+9'""]","['Guilavogui J.', 'Ajorque L.', 'Ngankam J.', 'Papela M.']","['Hanche-Olsen A.', 'Onisiwo K.', 'Gruda B.', 'Lee Jae-Sung']","['-', '-', '-', '-']","[""46'"", ""74'"", ""74'"", ""88'"", ""90+5'""]","['Biel P.', 'Gumny R.', 'Pedersen M.', 'Maier A.', 'Michel S.']","['Tietz P.', 'Mbabu K.', 'Rexhbecaj E.', 'Engels A.', 'Iago']","['-', '-', '-', '-', '-']",3.07,0.8,47%,53%,18,10,4,4,14,6,16,10,7,7,2,0,27,24,4,3,8,16,0,1,3,2,276,320,199,240,107,79,60,39,120,119,Reichel T.  (Ger),Mewa Arena  (Mainz),34 000,26 000
Wolfsburg,Dortmund,1,1,2023/2024,17.02,17:30,"""0 - 1""","""1 - 0""","[""64'""]",['1 - 1'],['Gerhardt Y.'],['-'],"[""8'""]",['0 - 1'],['Fullkrug N.'],['-'],"[""71'"", ""90+7'"", ""90+8'""]","['Gerhardt Y.', 'Arnold M.', 'Jenz M.']","['(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']","[""90+8'""]",['Moukoko Y.'],['(Unsportsmanlike conduct)'],,,,,,,"[""46'"", ""77'"", ""88'""]","['Gerhardt Y.', 'Nmecha L.', 'Sarr A.']","['Svanberg M.', 'Behrens K.', 'Wind J.']","['-', '-', '-']","[""79'"", ""79'"", ""85'""]","['Ozcan S.', 'Gittens J.', 'Moukoko Y.']","['Reus M.', 'Sancho J.', 'Fullkrug N.']","['-', '-', '-']",2.13,1.46,38%,62%,9,12,4,5,5,7,8,23,5,3,5,3,19,20,4,3,18,5,,,3,1,332,619,259,545,85,109,63,43,127,122,Petersen M.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,28 917
FC Koln,Werder Bremen,0,1,2023/2024,16.02,22:30,"""0 - 0""","""0 - 1""",,,,,"[""70'""]",['0 - 1'],['Njinmah J.'],['(Weiser M.)'],"[""26'"", ""77'"", ""90+2'"", ""90+5'""]","['Kainz F.', 'Thielmann J.', 'Huseinbasic D.', 'Hubers T.']","['(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Tripping)', '(Tripping)']","[""26'"", ""77'"", ""88'"", ""88'""]","['Schmid R.', 'Weiser M.', 'Malatini J.', 'Bittencourt L.']","['(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)', '(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""67'"", ""74'"", ""74'"", ""84'"", ""84'""]","['Diehl J.', 'Christensen J.', 'Adamyan S.', 'Dietz F.', 'Tigges S.']","['Kainz F.', 'Martel E.', 'Maina L.', 'Schmitz B.', 'Ljubicic D.']","['-', '-', '-', '-', '-']","[""66'"", ""83'"", ""83'"", ""83'"", ""90+4'""]","['Njinmah J.', 'Bittencourt L.', 'Borre R.', 'Deman O.', 'Alvero S.']","['Woltemade N.', 'Schmid R.', 'Ducksch M.', 'Weiser M.', 'Lynen S.']","['-', '-', '-', '-', '-']",0.55,1.87,57%,43%,10,13,2,4,8,9,11,19,5,3,2,0,32,13,3,2,16,11,,,4,4,485,359,403,287,109,105,56,37,122,118,Siebert D.  (Ger),RheinEnergieStadion  (Cologne),50 000,52 652
